,0,1,2
0,80.0,82.0,0.0
1,172.0,173.0,0.0
2,100.0,102.0,0.0
3,108.0,203.0,0.0
4,200.0,204.0,0.0
5,18.0,37.0,0.0
6,156.0,206.0,0.0
7,123.0,159.0,0.0
8,153.0,157.0,0.0
9,158.0,209.0,0.0
10,179.0,181.0,0.0
11,183.0,211.0,0.0
12,11.0,22.0,0.0
13,130.0,131.0,0.0
14,132.0,214.0,0.0
15,99.0,122.0,0.0
16,111.0,127.0,0.0
17,133.0,217.0,0.0
18,0.0,44.0,1.1102230246251565e-16
19,160.0,163.0,1.1102230246251565e-16
20,55.0,219.0,1.1102230246251565e-16
21,66.0,221.0,1.1102230246251565e-16
22,110.0,222.0,1.1102230246251565e-16
23,116.0,223.0,1.1102230246251565e-16
24,117.0,224.0,1.1102230246251565e-16
25,151.0,152.0,1.1102230246251565e-16
26,135.0,144.0,1.1102230246251565e-16
27,63.0,178.0,2.220446049250313e-15
28,109.0,205.0,2.886579864025407e-14
29,175.0,193.0,4.399979237623697e-07
30,129.0,218.0,5.328390904058011e-07
31,184.0,212.0,6.577477421609856e-07
32,161.0,220.0,7.030734526791704e-07
33,93.0,189.0,1.2688140511585289e-06
34,101.0,229.0,1.2808407582998172e-06
35,105.0,235.0,1.4170347088689657e-06
36,154.0,210.0,1.4793678367874818e-06
37,57.0,58.0,1.5381547532333784e-06
38,96.0,234.0,1.929292093916235e-06
39,59.0,238.0,2.1731273553426966e-06
40,20.0,24.0,2.4675779408678267e-06
41,78.0,228.0,3.3976854651451838e-06
42,13.0,207.0,4.681742918899445e-06
43,33.0,225.0,4.9758081531736664e-06
44,138.0,139.0,8.406813293948545e-06
45,128.0,231.0,1.2652954067576827e-05
46,34.0,35.0,1.4301208427935919e-05
47,90.0,242.0,1.544353307440331e-05
48,52.0,53.0,2.346558820109923e-05
49,121.0,244.0,2.445017798208271e-05
50,21.0,241.0,2.7451564851288524e-05
51,146.0,227.0,2.881741880200739e-05
52,141.0,142.0,2.966062876241793e-05
53,64.0,248.0,4.180714852539125e-05
54,94.0,239.0,5.9423749747877785e-05
55,134.0,197.0,6.251615245178588e-05
56,29.0,30.0,7.373687249578875e-05
57,36.0,247.0,7.570665633238605e-05
58,14.0,243.0,8.261283617130855e-05
59,180.0,182.0,0.00010018269551259618
60,87.0,254.0,0.00010398440726060443
61,77.0,250.0,0.00012160024510902516
62,79.0,86.0,0.000133197305828614
63,97.0,255.0,0.00014200296138133783
64,145.0,198.0,0.0001421832051627936
65,85.0,107.0,0.00014396638454550192
66,12.0,54.0,0.0001458998503046649
67,62.0,261.0,0.00014788098634754832
68,2.0,3.0,0.00015066043388933803
69,124.0,262.0,0.00017291621782216103
70,164.0,230.0,0.00018156493750948188
71,8.0,15.0,0.00018391012888552272
72,245.0,253.0,0.00018753293791384795
73,16.0,45.0,0.0001905499501263508
74,168.0,208.0,0.0001934666062303192
75,17.0,50.0,0.00019683334443587608
76,68.0,81.0,0.00021717808125731874
77,149.0,252.0,0.0002209299559302972
78,185.0,232.0,0.0002421407626636285
79,26.0,28.0,0.00024992572720827777
80,4.0,5.0,0.00025046617636059754
81,76.0,268.0,0.00025168737546396195
82,167.0,276.0,0.0002582955517329566
83,91.0,264.0,0.00026212420169910986
84,165.0,275.0,0.0002685059298078718
85,236.0,266.0,0.000270371600534217
86,162.0,246.0,0.0002766523073447935
87,240.0,267.0,0.00029441425583666875
88,259.0,265.0,0.00032551933459076257
89,136.0,287.0,0.0003326304101578155
90,176.0,190.0,0.00034168689049496326
91,125.0,270.0,0.00034335120564617363
92,92.0,263.0,0.0003468170108571478
93,196.0,202.0,0.000362782484275459
94,192.0,257.0,0.0003800539827573668
95,147.0,148.0,0.00038852265774691475
96,215.0,233.0,0.0004204191515081816
97,74.0,195.0,0.0004513592650222664
98,56.0,194.0,0.00046426582255165716
99,106.0,286.0,0.00047434123958804236
100,38.0,40.0,0.0004830859031812462
101,25.0,251.0,0.0004922605962895954
102,67.0,75.0,0.000544418640714972
103,258.0,281.0,0.0005473458450923988
104,84.0,201.0,0.0005603588589706554
105,118.0,213.0,0.0005617329937381843
106,69.0,73.0,0.0005645004351995109
107,32.0,297.0,0.0006048765266814341
108,177.0,285.0,0.0006138327298461366
109,282.0,284.0,0.0006217038513076506
110,150.0,226.0,0.0006314154387785376
111,272.0,298.0,0.0006476951109309903
112,10.0,23.0,0.000666406834988087
113,83.0,300.0,0.0006696873925711056
114,60.0,288.0,0.0006782747735958993
115,39.0,47.0,0.0007134917868628632
116,19.0,49.0,0.0007166810100078802
117,166.0,309.0,0.0007201200754922033
118,140.0,273.0,0.0007428929363968162
119,120.0,292.0,0.0007475014118835851
120,260.0,279.0,0.00076934864610535
121,43.0,274.0,0.0008035476352499793
122,289.0,312.0,0.0008042811567190444
123,256.0,295.0,0.0008081325534923616
124,187.0,291.0,0.0008169801216767469
125,1.0,65.0,0.0009182553910632718
126,143.0,319.0,0.0009494060010656113
127,89.0,310.0,0.000973555314350045
128,41.0,317.0,0.0009879897858350861
129,155.0,299.0,0.0010070585524050157
130,9.0,302.0,0.001022937447969413
131,169.0,170.0,0.0010551234532556464
132,283.0,323.0,0.0010834822401003764
133,278.0,311.0,0.0010881194224325965
134,95.0,103.0,0.0011450537163621988
135,126.0,290.0,0.001154828604656512
136,324.0,331.0,0.0011636194643624264
137,271.0,313.0,0.00116414444111973
138,137.0,294.0,0.001185312824235174
139,46.0,48.0,0.0012098804775914074
140,303.0,326.0,0.0012112076864483068
141,216.0,320.0,0.0012388097964939936
142,174.0,327.0,0.001283395923165916
143,237.0,321.0,0.0013001095776713806
144,42.0,322.0,0.0013043170559693766
145,72.0,191.0,0.0014606938637882205
146,318.0,332.0,0.0014607581569726913
147,293.0,345.0,0.0014657274532664983
148,51.0,98.0,0.0014850903484108224
149,119.0,280.0,0.001572437637844759
150,329.0,333.0,0.0016111198221893718
151,171.0,308.0,0.0016481442510206193
152,301.0,340.0,0.0016518432934232163
153,330.0,352.0,0.0017174486751923615
154,6.0,7.0,0.0017246357098066323
155,199.0,304.0,0.0017266128956828109
156,314.0,328.0,0.0017325717849542032
157,305.0,341.0,0.0017434444894092183
158,339.0,358.0,0.001833598707768086
159,296.0,334.0,0.0018396781753683422
160,337.0,351.0,0.001843210903558074
161,186.0,307.0,0.0018777230178666504
162,61.0,249.0,0.0019893813340866595
163,315.0,354.0,0.0020668488087545855
164,338.0,349.0,0.002071178466319956
165,104.0,277.0,0.002115982699754604
166,306.0,346.0,0.002119972696265922
167,348.0,365.0,0.002145349780042259
168,325.0,353.0,0.002211641370786138
169,335.0,357.0,0.0022376464169398726
170,344.0,347.0,0.0022456581970939473
171,356.0,364.0,0.0022852874518508024
172,31.0,343.0,0.0023860336179406688
173,359.0,370.0,0.002687385092455749
174,112.0,368.0,0.0028461625927893425
175,71.0,350.0,0.0030526017122045612
176,362.0,367.0,0.0030960780042798525
177,188.0,369.0,0.0031434049776961626
178,27.0,363.0,0.0033448604787678824
179,269.0,375.0,0.00364215431866776
180,373.0,374.0,0.0037073705916086754
181,70.0,316.0,0.0037381502394477906
182,361.0,381.0,0.0037662603899847004
183,88.0,360.0,0.0050936075971637195
184,371.0,383.0,0.005160271126899738
185,366.0,372.0,0.00540507408402685
186,115.0,377.0,0.006020717760157918
187,376.0,379.0,0.006058778685330168
188,380.0,382.0,0.0076042679543417355
189,355.0,385.0,0.008166111578097794
190,384.0,387.0,0.010824800191542661
191,336.0,386.0,0.011135811939550124
192,114.0,342.0,0.014074647774762453
193,388.0,390.0,0.014171785916590062
194,391.0,394.0,0.01823352276138648
195,378.0,392.0,0.020901601977097926
196,113.0,389.0,0.024723712881488818
197,395.0,397.0,0.027509037456215173
198,396.0,398.0,0.037542627965086756
199,393.0,399.0,0.04103514241045068
